PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
02eUP,rn2k2r/pbppq1pp/1p2p3/5p2/2PPn3/2NBPN2/PP3PPP/R2QK2R w KQkq - 0 9,c3e4 f5e4 d3e2 e4f3,1374,75,67,277,crushing fork opening short,https://lichess.org/pdbkEmBv#17,Dutch Defense
02ed8,r4rk1/3qb1pp/p3p3/1p1pBp1Q/2pPn3/P1P1P2P/1PB2PP1/R4RK1 w - - 0 18,g2g4 g7g6 h5h6 e7g5 h6g7 d7g7 e5g7 g8g7,1714,74,94,792,crushing middlegame veryLong,https://lichess.org/AOsu1cvl#35,Queen's Pawn Game
02fKi,r2q1nr1/pp2pk1R/2p1pb2/3p1nB1/3P1NQ1/2N5/PPP2P2/2KR4 b - - 2 18,f8h7 g4h5 f7g7 f4e6,1774,77,95,16666,crushing deflection fork master middlegame short,https://lichess.org/lGlRAQCM/black#36,Caro-Kann Defense
02fRr,r2r2k1/ppq1bppp/4pn2/6B1/1n1P4/2N1Q3/PP1RNPPP/5RK1 b - - 15 16,b4a2 g5f4 c7c4 b2b3,2524,108,78,50,advantage middlegame short,https://lichess.org/pNyTOfon/black#32,French Defense
02fS6,r1b2rk1/pppp1ppp/8/8/1KBbP3/6N1/PPq4P/R1B2Q1R w - - 0 15,f1d3 a7a5 b4a3 d4c5 b2b4 a5b4,1825,75,90,477,doubleCheck long mate mateIn3 middlegame,https://lichess.org/0R4lKyDK#29,Vienna Game
02fT9,r2q1rk1/p1p1n1pp/1pnp4/bN2pP2/P1P5/5NB1/5PPP/1R1Q1RK1 b - - 0 16,e7f5 d1d5 g8h8 d5c6 a7a6 b5a3,1988,76,94,8113,advantage defensiveMove fork long middlegame,https://lichess.org/mOszGc41/black#32,Italian Game
02fUl,r3k2N/ppp3pp/8/2bBp3/7q/3PB3/PPP1b1PP/RN4KR w q - 0 14,e3c5 h4e1,889,76,100,106,mate mateIn1 middlegame oneMove,https://lichess.org/AKwLFh6N#27,Italian Game
02gWU,rnbr2k1/1pb1npp1/p1p2q1p/4p3/P1B1P3/1P3N2/1BP1NPPP/R2Q1RK1 w - - 2 13,b2e5 d8d1 e5f6 d1f1 g1f1 g7f6,1818,75,70,110,advantage long middlegame,https://lichess.org/6OhNekLy#25,King's Knight Opening
02gpk,r3kb1r/pp1qnppp/4p3/4P3/3n4/4B3/PP3PPP/RN1Q1RK1 w kq - 0 12,e3d4 a8d8 b1c3 d7d4 d1d4 d8d4,2035,76,91,1842,crushing intermezzo long middlegame quietMove,https://lichess.org/A6GMJz2C#23,French Defense
02h9I,r3q2r/pp4kp/6p1/3Pp3/3nP3/6Q1/PB3PPP/R3K2R w KQ - 2 19,e1g1 d4e2 g1h1 e2g3,901,95,93,1033,advantage fork middlegame short,https://lichess.org/PDXhPgzy#37,Grunfeld_Defense Grunfeld_Defense_Exchange_Variation
02hKJ,rnbqkb1r/1pp2ppp/p3p3/4N3/2PPp3/8/PP3PPP/R1BQKB1R b KQkq - 1 7,f7f6 d1h5 g7g6 e5g6 h7g6 h5h8,1531,76,96,24669,advantage long opening,https://lichess.org/v13kTEYj/black#14,Queen's Gambit Declined
02iFO,r3k2r/ppp1qpb1/2np1npp/4P1B1/2BP4/2N2Q2/PPP3PP/2KR3R b kq - 0 12,d6e5 c3d5 f6d5 g5e7,2090,76,85,105,crushing middlegame short,https://lichess.org/yrbAyMcG/black#24,King's Gambit
02im6,r2qkb1r/pp2pppp/5n2/5b2/3Bp3/2P5/PP2BPPP/RN1Q1RK1 b kq - 4 9,e7e6 d4f6 d8d1 f1d1 g7f6 e2b5 e8e7 d1d7,2339,84,84,292,crushing opening veryLong,https://lichess.org/aDuhy4SP/black#18,Sicilian Defense
02itv,rn3rk1/pp3ppp/2p1p1b1/8/2Pq4/P4N1P/2P1BPP1/R1Q2RK1 b - - 3 18,d4e4 e2d3 e4f3 g2f3,1388,75,83,541,crushing middlegame short trappedPiece,https://lichess.org/oHhgr635/black#36,Scandinavian Defense
02j44,rn3knr/pbppq3/1p4Bp/4P1pQ/2p5/2P3N1/P4PPP/R3R1K1 b - - 1 17,b8c6 h5f3 f8g7 g3f5 g7g6 f5e7 c6e7 f3b7,2223,81,92,5173,crushing exposedKing fork middlegame veryLong,https://lichess.org/kjngVApx/black#34,English Defense
02jBf,r1b4r/1p1pkppp/pq1Np3/3Bn3/8/P4P2/1P1B2PP/R2QK2R b KQ - 0 17,b6d6 d2b4 d6b4 a3b4,1408,76,83,2467,crushing middlegame pin short,https://lichess.org/M7zamHVN/black#34,Sicilian Defense
02jkb,r1bqr1k1/4bppp/p4B2/1pp5/8/1P1B4/P2PQPPP/RN2R1K1 b - - 0 15,e7f6 e2e8 d8e8 e1e8,460,98,96,828,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/CCMdAYH5/black#30,Nimzo-Larsen Attack
02jkj,2r2rk1/pp2bppp/3pbn2/8/1q2P3/2N1BN1P/PPQ2PP1/3RR1K1 b - - 4 16,e6a2 c3a2 b4e1 f3e1 c8c2 e1c2,1856,145,0,18,crushing hangingPiece long middlegame,https://lichess.org/atw0KFKz/black#32,Sicilian Defense
02kVm,r1b4r/ppp1nk1p/2pb1Np1/6B1/2B5/5P2/PPP2P1P/R3K1R1 b Q - 4 14,f7f8 g5h6,1600,129,82,58,mate mateIn1 middlegame oneMove,https://lichess.org/mY9YxxRX/black#28,Scotch Game
02kXH,r3k2r/pq1n1ppb/4p2p/4P3/Q1N3P1/1Pp1P2P/P4P2/R4RK1 b kq - 1 19,a8b8 c4d6 e8e7 d6b7,916,97,90,315,crushing fork middlegame pin short,https://lichess.org/ARLgMHs5/black#38,Queen's Pawn Game
02kdk,r2br1k1/pp2pp1p/4b1p1/6B1/3RN2P/1P6/5PP1/4R1K1 b - - 2 19,e6b3 e4f6 g8h8 f6e8,986,79,93,571,advantage middlegame short,https://lichess.org/Wr3HBu3P/black#38,Sicilian Defense
02kn2,rnbqk2r/pp3pp1/3bpn1p/1B1pN3/3Q1B2/4P3/PPP2PPP/RN2K2R b KQkq - 2 8,c8d7 e5d7 b8d7 f4d6,1770,77,94,6575,crushing discoveredAttack opening short,https://lichess.org/OrurLtEu/black#16,"Queen's Pawn Game: Torre Attack, Gossip Variation"
02kzX,r2q1rk1/pQpn1ppp/2Nbpn2/3p4/5B2/P3P2P/1P3PP1/RN2K2R b KQ - 4 15,d7c5 c6d8 c5b7 d8b7 d6f4 e3f4,1399,76,94,6196,advantage long opening,https://lichess.org/dnvbDd1C/black#30,Queen's Gambit Declined
02l21,r1b1kb1r/1p4p1/p7/3pPpNp/3P3P/NnP5/5PP1/R1B2RK1 w kq - 2 18,a1b1 b3c1 f1c1 f8a3,1664,223,0,7,advantage capturingDefender middlegame short,https://lichess.org/Xasamltm#35,French Defense
02lNK,r3k2r/pp3ppp/4p3/2bpPn2/3N1P2/3QB1PP/Pq3K2/RN1R4 w kq - 0 16,b1d2 c5d4 e3d4 b2d4 d3d4 f5d4,2140,79,87,441,advantage long middlegame,https://lichess.org/5L1WsQyi#31,Caro-Kann Defense
